Mes;Consumo Bogot‡ (m3-mes);Consumo Soacha (m3-mes);Consumo Gachancip‡ (m3-mes)
ene-17;10,92;7,53;9,60
feb-17;11,10;7,19;10,12
mar-17;10,91;7,51;10,11
abr-17;11,16;7,42;10,24
may-17;11,08;7,59;10,22
jun-17;11,22;7,49;10,29
jul-17;11,15;7,61;10,29
ago-17;11,23;7,53;10,36
sep-17;11,17;7,63;10,36
oct-17;11,29;7,58;10,44
nov-17;11,26;7,66;10,44
dic-17;11,33;7,59;10,56
ene-18;11,31;9,36;
feb-18;11,41;7,48;10,71
mar-18;10,92;7,90;10,71
abr-18;11,42;7,61;11,04
may-18;11,29;7,87;11,04
jun-18;11,40;7,61;11,27
jul-18;11,35;7,79;11,26
ago-18;11,41;7,60;11,35
sep-18;11,35;7,74;11,35
oct-18;11,42;7,61;11,39
nov-18;11,36;7,72;11,39
dic-18;11,43;7,63;11,47
