Fecha,Consumo_Bogota,Temp_aire_media,Humedad_relativa_media,Precipitacion_mm,cuarentena,aislamiento,racionamiento,mes_3,mes_5,mes_6,mes_7,mes_9,mes_10,mes_11
2017-02-01,11.1,13.283279168344576,72.82210603503437,129.1,0,0,0,False,False,False,False,False,False,False
2017-03-01,10.91,13.388423886821075,81.88514530154809,368.7,0,0,0,True,False,False,False,False,False,False
2017-05-01,11.08,13.898287579221925,72.69115478905904,227.4,0,0,0,False,True,False,False,False,False,False
2017-06-01,11.22,13.58644675925925,71.38310372718094,143.6,0,0,0,False,False,True,False,False,False,False
2017-07-01,11.15,12.821366207437325,78.4517145306289,12.5,0,0,0,False,False,False,True,False,False,False
2017-09-01,11.17,13.506056579415976,67.08395660167604,49.2,0,0,0,False,False,False,False,True,False,False
2017-10-01,11.29,13.67365288978495,73.30552735439937,151.4,0,0,0,False,False,False,False,False,True,False
2017-11-01,11.26,13.858163550293275,78.2918479401868,383.5,0,0,0,False,False,False,False,False,False,True
2018-02-01,11.41,13.799133720656549,74.8562444750626,62.7,0,0,0,False,False,False,False,False,False,False
2018-03-01,10.92,13.608416538658474,76.5402772149934,153.6,0,0,0,True,False,False,False,False,False,False
2018-05-01,11.29,13.3627018283016,83.16553924966783,270.85,0,0,0,False,True,False,False,False,False,False
2018-06-01,11.4,13.072544849537024,80.0231158750656,21.74,0,0,0,False,False,True,False,False,False,False
2018-07-01,11.35,13.166223566308275,79.25614351432246,45.47,0,0,0,False,False,False,True,False,False,False
2018-09-01,11.35,13.371309891543124,76.97264672259607,168.16,0,0,0,False,False,False,False,True,False,False
2018-10-01,11.42,13.571796280023449,81.29176296373896,224.36,0,0,0,False,False,False,False,False,True,False
2018-11-01,11.36,13.647145543981475,82.52262633522294,577.19,0,0,0,False,False,False,False,False,False,True
2019-02-01,11.21,13.71558426880965,77.0121775793651,167.54,0,0,0,False,False,False,False,False,False,False
2019-03-01,11.06,14.022894391026,74.9927337359162,403.65,0,0,0,True,False,False,False,False,False,False
2019-05-01,11.39,13.3964373104494,77.44008115304774,271.91,0,0,0,False,True,False,False,False,False,False
2019-06-01,11.34,13.2997988287988,75.1640327380951,147.54,0,0,0,False,False,True,False,False,False,False
2019-07-01,11.26,13.179896554863475,71.52139740793686,38.63,0,0,0,False,False,False,True,False,False,False
2019-09-01,11.37,13.261543072089925,77.48325797120164,204.6,0,0,0,False,False,False,False,True,False,False
2019-10-01,11.34,13.08507810346015,79.95891944063557,362.54,0,0,0,False,False,False,False,False,True,False
2019-11-01,11.39,13.657413194444375,81.90930176460459,579.43,0,0,0,False,False,False,False,False,False,True
2020-02-01,11.12,13.344977330779075,71.2112755196118,324.15,0,0,0,False,False,False,False,False,False,False
2020-03-01,11.32,14.122464990045799,78.22159578270447,255.58,0,0,0,True,False,False,False,False,False,False
2020-05-01,11.09,13.668633615539898,79.21924971120825,47.21,1,0,0,False,True,False,False,False,False,False
2020-06-01,10.96,13.3379379438868,79.05430699921195,79.34,1,0,0,False,False,True,False,False,False,False
2020-07-01,10.89,13.3297200574391,79.73025973566645,82.42,1,0,0,False,False,False,True,False,False,False
2020-09-01,10.76,13.1217076210826,88.4422851203802,124.21000000000001,0,1,0,False,False,False,False,True,False,False
2020-10-01,10.73,13.41332378484895,88.4838869463866,7.55,0,1,0,False,False,False,False,False,True,False
2020-11-01,10.79,13.30654401154405,93.8463003893975,127.24,0,1,0,False,False,False,False,False,False,True
2021-02-01,10.63,13.487580605158675,78.68635336551915,76.28,0,1,0,False,False,False,False,False,False,False
2021-03-01,10.68,12.642913287979667,73.2780081311521,261.03,0,1,0,True,False,False,False,False,False,False
2021-09-01,10.62,13.168098191674575,78.42917502774534,72.1,0,1,0,False,False,False,False,True,False,False
2021-10-01,10.61,13.36713664528735,83.94619863813864,381.12,0,1,0,False,False,False,False,False,True,False
2021-11-01,10.69,13.3094279650139,84.1482418592439,382.54,0,1,0,False,False,False,False,False,False,True
2022-02-01,10.7,13.229514348177549,80.80743234223847,168.01,0,1,0,False,False,False,False,False,False,False
2022-03-01,10.87,13.320294999457701,78.80748358779367,11.3,0,1,0,True,False,False,False,False,False,False
2022-05-01,10.9,13.248944343004025,73.16720172151624,228.2,0,1,0,False,True,False,False,False,False,False
2022-06-01,10.89,12.8941517468807,77.5683243546577,382.46,0,1,0,False,False,True,False,False,False,False
2022-07-01,10.9,12.940044680586075,75.55068462639963,87.96000000000001,0,1,0,False,False,False,True,False,False,False
2022-09-01,10.85,13.157625782711374,74.40673069985523,203.17000000000002,0,0,0,False,False,False,False,True,False,False
2022-10-01,10.85,14.533770310633267,79.91559787331028,491.92,0,0,0,False,False,False,False,False,True,False
2023-02-01,11.32,13.8459408068783,65.7874319727887,103.38,0,0,0,False,False,False,False,False,False,False
2023-03-01,11.11,12.922076900101132,77.0551075268821,217.92000000000002,0,0,0,True,False,False,False,False,False,False
2023-05-01,11.0,14.3679033731346,68.5226478494625,75.93,0,0,0,False,True,False,False,False,False,False
2023-06-01,10.95,14.1835509217849,77.756505050505,1.45,0,0,0,False,False,True,False,False,False,False
2023-09-01,10.92,14.14596153846145,76.1886724386719,58.0,0,0,0,False,False,False,False,True,False,False
